"","ID","why","age","experience","language","location","don't know","other"
"1","10084","I don't know",0,0,0,0,2,0
"2","10108","dont know",0,0,0,0,2,0
"3","10109","i dont know",0,0,0,0,2,0
"4","10124","Because it had a longer beak than a bird",0,1,0,0,0,2
"5","10175","Because he has probably never seen one before",0,2,0,0,0,0
"6","10195","I don't know",0,0,0,0,2,0
"7","10295","Because he guessed",0,0,0,0,0,2
"8","10516","because ducks are my favorite [some parent interference on this q]",0,0,0,0,0,2
"9","10518","because it's a long word",0,0,2,0,0,0
"10","10588","I don't know",0,0,0,0,2,0
"11","10702","Because the word is too long",0,0,2,0,0,0
"12","10815","Because i think why because its the only animal that hoot",0,1,0,0,0,1
"13","11052","Cause it makes sounds",0,1,0,0,0,1
"14","11703","because it has two syllables",0,0,2,0,0,0
"15","11726","bc a lot of people know the names of ducks",0,1,0,0,0,1
"16","4524","because sometimes you may think its a different type of animal like a cheetah instead of a leopard",0,1,0,0,0,1
"17","4593","Because penguins live in the artic and its too cold for little kids so thats why you should have 130 jackets on to go the artic",1,1,0,2,0,0
"18","4640","Because it only has 3 letters and 3 letters are the easiest",0,0,2,0,0,0
"19","4710","Because leopards look similar to cheetas so he might get confused",0,1,0,0,0,1
"20","4875","Cause he doesn't know how to talk",0,0,2,0,0,1
"21","4921","Because I think I knew that when I was around 3, I knew what a pig was",2,1,0,0,0,0
"22","5913","because i thought he might think it was something else",0,1,0,0,0,1
"23","6338","Because it was a very long word",0,0,2,0,0,0
"24","6392","I dont know",0,0,0,0,2,0
"25","6905","Because it mostly comes out at night",0,1,0,1,0,0
"26","6939","Because its kind of like everyone knows that animal",0,1,0,0,0,1
"27","6974","Because maybe he couldnt read it",0,0,2,0,0,0
"28","7289","Because if he went to preschool then he probably knew it would be a snake",2,1,0,1,0,0
"29","7391","Cat, it sounded hard",0,0,2,0,0,0
"30","7474","because he does not know what a beak is called",0,1,1,0,0,1
"31","7533","Because they might have it for a pet",0,2,0,0,0,0
"32","7673","el-e-phant, only find them in the zoo",0,1,0,2,0,0
"33","7862","because its similar to cat",0,1,0,0,0,0
"34","7913","Because he just knows certain words",0,0,1,0,0,1
"35","8040","when they do the alphabet in school, there f is usually a fish",0,1,2,0,0,0
"36","8041","because it's a hard word",0,0,2,0,0,0
"37","8233","he sees them in aqariums",0,2,0,2,0,0
"38","8234","because its a longer word and piano and longgg and car was short word",0,0,2,0,0,0
"39","8302","I don't know",0,0,0,0,2,0
"40","8397","cause he knows elephants",0,0,0,0,0,2
"41","8552","Because it has four letters and it is a very easy word to pronounce",0,0,2,0,0,0
"42","8855","0",0,0,0,0,2,0
"43","8856","Because it's a short word",0,0,2,0,0,0
"44","8857","I don't know",0,0,0,0,2,0
"45","8965","Because there are male and female ducks and they look very diffrent from each other and he might not know that one is a duck",0,1,0,0,0,1
"46","8966","Because maybe he has a dog",0,2,0,0,0,0
"47","9009","Because it didn't look like an owl that he would see on a show",0,2,0,0,0,0
"48","9058","Because if he doesnt know the word piano then if he could know the word raccoon then he would know the word piano because raccoon is like the level of piano",1,0,2,0,0,0
"49","9127","i dont know",0,0,0,0,2,0
"50","9179","because fish swim under the ocean",0,1,0,2,0,0
"51","9245","Because his dad said that a fish splashed in the lake that they passed by",0,2,0,2,0,0
"52","9282","I don't know",0,0,0,0,2,0
"53","9299","0",0,0,0,0,2,0
"54","9477","Because he knows how to say owl",0,0,1,0,0,1
"55","9520","Maybe he recognized the shell",0,2,0,0,0,0
"56","9678","Because he doesn't know how to talk yet",2,0,1,0,0,0
"57","9692","I dont know",0,0,0,0,2,0
"58","9712","because he maybe he didn't know how to say it",0,0,2,0,0,1
"59","RP-0221","Because it lives in the water and you can't find them really easily",0,1,0,2,0,0
"60","RP-0226","Because gorillas are really rare animals and lots of babies don't know about them",1,2,1,0,0,0
"61","RP-0238","I'm not sure",0,0,0,0,2,0
"62","RP-0245","b/c dogs are everywhere",0,2,0,0,0,0
"63","RP-0248","Cause I think he saw it before and his mom or dad told him",0,2,0,0,0,0
"64","RP-0264","Because leopards are really big and not a lot of people would really know them, i didn't know them when i was a little kid",2,1,0,0,0,0
"65","RP-0273","Because its small",0,1,0,0,0,1
"66","RP-0274","I dont know",0,0,0,0,2,0
