ID,why,age,experience,language,location,unsure,other
8041,because it's a hard word,,,1,,,
8040,"when they do the alphabet in school, there f is usually a fish",,,1,,,
10175,Because he has probably never seen one before,,1,,,,
8397,cause he knows elephants ,,,,,,1
4524,because sometimes you may think its a different type of animal like a cheetah instead of a leopard,,,,,,1
11052,Cause it makes sounds,,,,,,1
6338,Because it was a very long word,,,1,,,
8234,because its a longer word and piano and longgg and car was short word ,,,1,,,
8233,he sees them in aqariums ,,1,,1,,
4640,Because it only has 3 letters and 3 letters are the easiest ,,,1,,,
10195,I don't know ,,,,,1,
7289,Because if he went to preschool then he probably knew it would be a snake,1,,,,,
10295,Because he guessed,,,,,,1
9009,Because it didn't look like an owl that he would see on a show,,1,,,,
8966,Because maybe he has a dog,,1,,,,
8965,Because there are male and female ducks and they look very diffrent from each other and he might not know that one is a duck,,,,,,1
9520,Maybe he recognized the shell,,1,,,,
11703,because it has two syllables ,,,1,,,
4593,Because penguins live in the artic and its too cold for little kids so thats why you should have 130 jackets on to go the artic ,,,,1,,
RP-0221,Because it lives in the water and you can't find them really easily,,,,1,,
9477,Because he knows how to say owl,,,1,,,
9245,Because his dad said that a fish splashed in the lake that they passed by,,1,,1,,
8856,Because it's a short word,,,1,,,
8855,,,,,,1,
8857,I don't know,,,,,1,
7533,Because they might have it for a pet,,1,,,,
6905,Because it mostly comes out at night ,,,,1,,
7673,"el-e-phant, only find them in the zoo",,,,1,,
RP-0226,Because gorillas are really rare animals and lots of babies don't know about them,,1,1,,,
5913,because i thought he might think it was something else,,,,,,1
7474,because he does not know what a beak is called,,,,,,1
4921,"Because I think I knew that when I was around 3, I knew what a pig was",1,,,,,
7391,"Cat, it sounded hard",,,1,,,
4875,Cause he doesn't know how to talk,,,1,,,
9282,I don't know,,,,,1,
10084,I don't know,,,,,1,
9179,because fish swim under the ocean,,,,1,,
7862,because its similar to cat,,,,,,
8302,I don't know,,,,,1,
9678,Because he doesn't know how to talk yet,1,,,,,
10109,i dont know,,,,,1,
10108,dont know,,,,,1,
11726,bc a lot of people know the names of ducks,,,,,,1
9058,Because if he doesnt know the word piano then if he could know the word raccoon then he would know the word piano because raccoon is like the level of piano,,,1,,,
10518,because it's a long word,,,1,,,
10516,because ducks are my favorite [some parent interference on this q],,,,,,1
RP-0248,Cause I think he saw it before and his mom or dad told him,,1,,,,
RP-0238,I'm not sure,,,,,1,
8552,Because it has four letters and it is a very easy word to pronounce ,,,1,,,
4710,Because leopards look similar to cheetas so he might get confused ,,,,,,1
RP-0245,b/c dogs are everywhere,,1,,,,
10124,Because it had a longer beak than a bird,,,,,,1
9299,,,,,,1,
10588,I don't know,,,,,1,
9712,because he maybe he didn't know how to say it,,,1,,,
10702,Because the word is too long,,,1,,,
7913,Because he just knows certain words ,,,1,,,
6939,Because its kind of like everyone knows that animal ,,,,,,1
6974,Because maybe he couldnt read it,,,1,,,
9127,i dont know,,,,,1,
6392,I dont know,,,,,1,
RP-0264,"Because leopards are really big and not a lot of people would really know them, i didn't know them when i was a little kid",1,,,,,
9692,I dont know,,,,,1,
RP-0274,I dont know,,,,,1,
RP-0273,Because its small,,,,,,1
10815,Because i think why because its the only animal that hoot,,,,,,1
